,Date,Trip_ID,Stop_Name,Latitude,Longitude,Visit_Time,Visit_Duration_Min,Travel_Next_Min,Day_Of_Week,Month,Hour,Is_Weekend,Traffic_Level,Stop_Encoded,Cluster,Stop_Frequency,Avg_Stop_Time,Daily_Visits,Route_Efficiency
D1,2026-01-01,TRP-0001,Shopping Center,17.445,78.527,1900-01-01 10:00:00,43,41,Thursday,January,10,0,2,38,0,39,29.94871794871795,1,1.0238095238095237
D1,2026-01-02,TRP-0002,Hub West,17.395,78.43,1900-01-01 09:15:00,57,33,Friday,January,9,0,2,16,3,49,29.20408163265306,1,1.6764705882352942
D1,2026-01-07,TRP-0003,Store C,17.375,78.48,1900-01-01 14:15:00,48,32,Wednesday,January,14,0,1,41,2,41,29.146341463414632,1,1.4545454545454546
D1,2026-01-09,TRP-0004,Depot B,17.345,78.455,1900-01-01 14:30:00,53,26,Friday,January,14,0,1,8,2,43,28.790697674418606,1,1.962962962962963
D1,2026-01-14,TRP-0005,Outlet 5,17.412,78.498,1900-01-01 10:30:00,52,33,Wednesday,January,10,0,2,28,4,43,28.72093023255814,1,1.5294117647058822
D1,2026-01-15,TRP-0006,Store I,17.43,78.52,1900-01-01 15:15:00,38,34,Thursday,January,15,0,1,47,0,41,28.170731707317074,1,1.0857142857142856
D1,2026-01-16,TRP-0007,Store C,17.375,78.48,1900-01-01 08:15:00,18,22,Friday,January,8,0,2,41,2,41,29.146341463414632,1,0.782608695652174
D1,2026-01-19,TRP-0008,Hub East,17.395,78.55,1900-01-01 16:30:00,59,25,Monday,January,16,0,1,13,0,39,27.94871794871795,1,2.269230769230769
D1,2026-01-21,TRP-0009,Hub West,17.395,78.43,1900-01-01 16:45:00,37,40,Wednesday,January,16,0,1,16,3,49,29.20408163265306,1,0.9024390243902439
D1,2026-01-28,TRP-0010,Store E,17.36,78.47,1900-01-01 13:15:00,24,36,Wednesday,January,13,0,1,43,2,38,27.5,1,0.6486486486486487
D1,2026-01-31,TRP-0011,Mall 1,17.37,78.465,1900-01-01 08:00:00,41,29,Saturday,January,8,1,2,17,2,39,29.71794871794872,1,1.3666666666666667
D1,2026-02-03,TRP-0012,Store H,17.35,78.46,1900-01-01 09:45:00,20,22,Tuesday,February,9,0,2,46,2,39,25.41025641025641,1,0.8695652173913043
D1,2026-02-05,TRP-0013,Factory 2,17.32,78.43,1900-01-01 14:45:00,38,25,Thursday,February,14,0,1,10,1,40,27.15,1,1.4615384615384615
D1,2026-02-12,TRP-0014,Pharmacy 2,17.405,78.495,1900-01-01 12:15:00,49,43,Thursday,February,12,0,1,32,4,33,26.454545454545453,1,1.1136363636363635
D1,2026-02-13,TRP-0015,Warehouse 2,17.34,78.45,1900-01-01 09:30:00,39,29,Friday,February,9,0,2,52,2,30,24.766666666666666,1,1.3
D1,2026-02-18,TRP-0016,Warehouse 1,17.44,78.53,1900-01-01 10:15:00,40,32,Wednesday,February,10,0,2,51,0,38,27.92105263157895,1,1.2121212121212122
D1,2026-02-19,TRP-0017,Hub West,17.395,78.43,1900-01-01 14:15:00,10,44,Thursday,February,14,0,1,16,3,49,29.20408163265306,1,0.2222222222222222
D1,2026-02-20,TRP-0018,Bank B,17.398,78.498,1900-01-01 08:30:00,30,25,Friday,February,8,0,2,2,4,29,29.17241379310345,1,1.1538461538461537
D1,2026-02-22,TRP-0019,Store F,17.41,78.51,1900-01-01 12:45:00,35,20,Sunday,February,12,1,1,44,4,31,24.774193548387096,1,1.6666666666666667
D1,2026-02-25,TRP-0020,Depot B,17.345,78.455,1900-01-01 15:15:00,57,43,Wednesday,February,15,0,1,8,2,43,28.790697674418606,1,1.2954545454545454
D1,2026-02-26,TRP-0021,Hub North,17.45,78.54,1900-01-01 16:45:00,48,41,Thursday,February,16,0,1,14,0,53,27.39622641509434,1,1.1428571428571428
D1,2026-02-27,TRP-0022,Store E,17.36,78.47,1900-01-01 10:45:00,53,39,Friday,February,10,0,2,43,2,38,27.5,1,1.325
D1,2026-03-05,TRP-0023,Hotel B,17.378,78.476,1900-01-01 15:00:00,36,12,Thursday,March,15,0,1,12,2,40,25.2,1,2.769230769230769
D1,2026-03-06,TRP-0024,Store A,17.385,78.486,1900-01-01 15:00:00,13,32,Friday,March,15,0,1,39,4,38,28.526315789473685,1,0.3939393939393939
D1,2026-03-12,TRP-0025,Store F,17.41,78.51,1900-01-01 10:00:00,48,39,Thursday,March,10,0,2,44,4,31,24.774193548387096,1,1.2
D1,2026-03-13,TRP-0026,Shopping Center,17.445,78.527,1900-01-01 15:15:00,39,37,Friday,March,15,0,1,38,0,39,29.94871794871795,2,1.0263157894736843
D1,2026-03-14,TRP-0027,Railway Station,17.432,78.498,1900-01-01 16:45:00,31,26,Saturday,March,16,1,1,33,0,37,27.62162162162162,1,1.1481481481481481
D1,2026-03-16,TRP-0028,Bus Terminal,17.384,78.456,1900-01-01 15:45:00,31,43,Monday,March,15,0,1,3,2,42,25.738095238095237,1,0.7045454545454546
D1,2026-03-18,TRP-0029,School 2,17.408,78.512,1900-01-01 10:15:00,30,12,Wednesday,March,10,0,2,37,4,49,26.6734693877551,2,2.3076923076923075
D1,2026-03-19,TRP-0030,Pharmacy 2,17.405,78.495,1900-01-01 11:45:00,11,17,Thursday,March,11,0,1,32,4,33,26.454545454545453,2,0.6111111111111112
D1,2026-03-27,TRP-0031,Hub South,17.33,78.44,1900-01-01 14:15:00,55,28,Friday,March,14,0,1,15,1,33,27.272727272727273,2,1.896551724137931
D1,2026-03-29,TRP-0032,Store F,17.41,78.51,1900-01-01 08:00:00,28,20,Sunday,March,8,1,2,44,4,31,24.774193548387096,1,1.3333333333333333
D1,2026-03-30,TRP-0033,Pharmacy 1,17.375,78.472,1900-01-01 15:15:00,33,35,Monday,March,15,0,1,31,2,24,27.541666666666668,1,0.9166666666666666
D1,2026-04-03,TRP-0034,Pharmacy 2,17.405,78.495,1900-01-01 12:45:00,57,43,Friday,April,12,0,1,32,4,33,26.454545454545453,1,1.2954545454545454
