  ,Date,Trip_ID,Stop_Name,Latitude,Longitude,Visit_Time,Visit_Duration_Min,Travel_Next_Min,Day_Of_Week,Month
D1,01-Jan-2026,TRP-0001,Shopping Center,17.4450,78.5270,10:00,43,41,Thursday,January
D1,02-Jan-2026,TRP-0002,Hub West,17.3950,78.4300,09:15,57,33,Friday,January
D1,07-Jan-2026,TRP-0003,Store C,17.3750,78.4800,14:15,48,32,Wednesday,January
D1,09-Jan-2026,TRP-0004,Depot B,17.3450,78.4550,14:30,53,26,Friday,January
D1,14-Jan-2026,TRP-0005,Outlet 5,17.4120,78.4980,10:30,52,33,Wednesday,January
D1,15-Jan-2026,TRP-0006,Store I,17.4300,78.5200,15:15,38,34,Thursday,January
D1,16-Jan-2026,TRP-0007,Store C,17.3750,78.4800,08:15,18,22,Friday,January
D1,19-Jan-2026,TRP-0008,Hub East,17.3950,78.5500,16:30,59,25,Monday,January
D1,21-Jan-2026,TRP-0009,Hub West,17.3950,78.4300,16:45,37,40,Wednesday,January
D1,28-Jan-2026,TRP-0010,Store E,17.3600,78.4700,13:15,24,36,Wednesday,January
D1,31-Jan-2026,TRP-0011,Mall 1,17.3700,78.4650,08:00,41,29,Saturday,January
D1,03-Feb-2026,TRP-0012,Store H,17.3500,78.4600,09:45,20,22,Tuesday,February
D1,05-Feb-2026,TRP-0013,Factory 2,17.3200,78.4300,14:45,38,25,Thursday,February
D1,12-Feb-2026,TRP-0014,Pharmacy 2,17.4050,78.4950,12:15,49,43,Thursday,February
D1,13-Feb-2026,TRP-0015,Warehouse 2,17.3400,78.4500,09:30,39,29,Friday,February
D1,18-Feb-2026,TRP-0016,Warehouse 1,17.4400,78.5300,10:15,40,32,Wednesday,February
D1,19-Feb-2026,TRP-0017,Hub West,17.3950,78.4300,14:15,10,44,Thursday,February
D1,20-Feb-2026,TRP-0018,Bank B,17.3980,78.4980,08:30,30,25,Friday,February
D1,22-Feb-2026,TRP-0019,Store F,17.4100,78.5100,12:45,35,20,Sunday,February
D1,25-Feb-2026,TRP-0020,Depot B,17.3450,78.4550,15:15,57,43,Wednesday,February
D1,26-Feb-2026,TRP-0021,Hub North,17.4500,78.5400,16:45,48,41,Thursday,February
D1,27-Feb-2026,TRP-0022,Store E,17.3600,78.4700,10:45,53,39,Friday,February
D1,05-Mar-2026,TRP-0023,Hotel B,17.3780,78.4760,15:00,36,12,Thursday,March
D1,06-Mar-2026,TRP-0024,Store A,17.3850,78.4860,15:00,13,32,Friday,March
D1,12-Mar-2026,TRP-0025,Store F,17.4100,78.5100,10:00,48,39,Thursday,March
D1,13-Mar-2026,TRP-0026,Shopping Center,17.4450,78.5270,15:15,39,37,Friday,March
D1,14-Mar-2026,TRP-0027,Railway Station,17.4320,78.4980,16:45,31,26,Saturday,March
D1,16-Mar-2026,TRP-0028,Bus Terminal,17.3840,78.4560,15:45,31,43,Monday,March
D1,18-Mar-2026,TRP-0029,School 2,17.4080,78.5120,10:15,30,12,Wednesday,March
D1,19-Mar-2026,TRP-0030,Pharmacy 2,17.4050,78.4950,11:45,11,17,Thursday,March
D1,27-Mar-2026,TRP-0031,Hub South,17.3300,78.4400,14:15,55,28,Friday,March
D1,29-Mar-2026,TRP-0032,Store F,17.4100,78.5100,08:00,28,20,Sunday,March
D1,30-Mar-2026,TRP-0033,Pharmacy 1,17.3750,78.4720,15:15,33,35,Monday,March
D1,03-Apr-2026,TRP-0034,Pharmacy 2,17.4050,78.4950,12:45,57,43,Friday,April
D1,04-Apr-2026,TRP-0035,Tech Park 1,17.4250,78.5150,14:45,52,45,Saturday,April
D1,06-Apr-2026,TRP-0036,Office B,17.4050,78.5150,12:30,17,10,Monday,April
D1,07-Apr-2026,TRP-0037,Office B,17.4050,78.5150,14:45,34,22,Tuesday,April
D1,12-Apr-2026,TRP-0038,Store E,17.3600,78.4700,14:00,13,32,Sunday,April
D1,14-Apr-2026,TRP-0039,Mall 2,17.4250,78.5250,13:45,37,22,Tuesday,April
D1,19-Apr-2026,TRP-0040,Market 1,17.3950,78.4880,12:45,54,28,Sunday,April
D1,23-Apr-2026,TRP-0041,School 1,17.3720,78.4680,15:30,35,38,Thursday,April
D1,26-Apr-2026,TRP-0042,Market 1,17.3950,78.4880,13:30,56,27,Sunday,April
D1,28-Apr-2026,TRP-0043,Clinic A,17.3820,78.4830,15:45,47,40,Tuesday,April
D1,30-Apr-2026,TRP-0044,Store F,17.4100,78.5100,16:30,56,35,Thursday,April
D1,01-May-2026,TRP-0045,Restaurant 2,17.3620,78.4620,13:30,14,35,Friday,May
D1,03-May-2026,TRP-0046,Park B,17.3580,78.4580,13:30,48,21,Sunday,May
D1,06-May-2026,TRP-0047,Mall 1,17.3700,78.4650,10:30,16,45,Wednesday,May
D1,10-May-2026,TRP-0048,Bus Terminal,17.3840,78.4560,08:15,46,14,Sunday,May
D1,14-May-2026,TRP-0049,Outlet 2,17.3750,78.5050,11:45,47,11,Thursday,May
D1,19-May-2026,TRP-0050,Outlet 1,17.3850,78.4900,11:30,46,22,Tuesday,May
D1,20-May-2026,TRP-0051,School 2,17.4080,78.5120,13:00,52,13,Wednesday,May
D1,24-May-2026,TRP-0052,Store C,17.3750,78.4800,13:45,30,20,Sunday,May
D1,26-May-2026,TRP-0053,Railway Station,17.4320,78.4980,10:00,48,32,Tuesday,May
D1,28-May-2026,TRP-0054,Warehouse 1,17.4400,78.5300,08:30,15,35,Thursday,May
D1,30-May-2026,TRP-0055,Outlet 4,17.3980,78.4720,13:00,19,38,Saturday,May
D1,06-Jun-2026,TRP-0056,Hotel B,17.3780,78.4760,16:45,34,22,Saturday,June
D1,11-Jun-2026,TRP-0057,Store G,17.4200,78.4900,14:15,12,21,Thursday,June
D1,12-Jun-2026,TRP-0058,Market 1,17.3950,78.4880,11:45,60,33,Friday,June
D1,14-Jun-2026,TRP-0059,Hotel B,17.3780,78.4760,14:00,48,13,Sunday,June
D1,15-Jun-2026,TRP-0060,Warehouse 1,17.4400,78.5300,12:15,13,21,Monday,June
D1,16-Jun-2026,TRP-0061,Store G,17.4200,78.4900,13:15,29,12,Tuesday,June
D1,20-Jun-2026,TRP-0062,Outlet 1,17.3850,78.4900,14:00,32,22,Saturday,June
D1,23-Jun-2026,TRP-0063,Clinic B,17.3920,78.4960,10:15,35,39,Tuesday,June
D1,24-Jun-2026,TRP-0064,Railway Station,17.4320,78.4980,13:00,21,21,Wednesday,June
D1,27-Jun-2026,TRP-0065,Restaurant 2,17.3620,78.4620,14:15,42,35,Saturday,June
D1,28-Jun-2026,TRP-0066,Store G,17.4200,78.4900,14:00,25,16,Sunday,June
D1,04-Jul-2026,TRP-0067,Park B,17.3580,78.4580,15:15,44,28,Saturday,July
D1,10-Jul-2026,TRP-0068,Store A,17.3850,78.4860,10:45,54,24,Friday,July
D1,12-Jul-2026,TRP-0069,Store G,17.4200,78.4900,16:45,16,35,Sunday,July
D1,14-Jul-2026,TRP-0070,Restaurant 2,17.3620,78.4620,11:30,32,14,Tuesday,July
D1,17-Jul-2026,TRP-0071,Office A,17.3800,78.4750,16:00,14,35,Friday,July
D1,18-Jul-2026,TRP-0072,Shopping Center,17.4450,78.5270,08:00,51,37,Saturday,July
D1,21-Jul-2026,TRP-0073,Factory 1,17.4600,78.5500,10:00,32,30,Tuesday,July
D1,24-Jul-2026,TRP-0074,Market 1,17.3950,78.4880,15:15,11,23,Friday,July
D1,28-Jul-2026,TRP-0075,Store I,17.4300,78.5200,12:15,25,25,Tuesday,July
D1,29-Jul-2026,TRP-0076,Depot B,17.3450,78.4550,16:45,45,11,Wednesday,July
D1,30-Jul-2026,TRP-0077,Store I,17.4300,78.5200,08:00,11,13,Thursday,July
D1,01-Aug-2026,TRP-0078,Tech Park 2,17.3550,78.4580,10:45,13,45,Saturday,August
D1,03-Aug-2026,TRP-0079,Warehouse 1,17.4400,78.5300,08:45,47,39,Monday,August
D1,04-Aug-2026,TRP-0080,Outlet 5,17.4120,78.4980,13:15,12,35,Tuesday,August
D1,06-Aug-2026,TRP-0081,Market 1,17.3950,78.4880,15:45,55,33,Thursday,August
D1,13-Aug-2026,TRP-0082,Pharmacy 1,17.3750,78.4720,09:15,26,26,Thursday,August
D1,14-Aug-2026,TRP-0083,Warehouse 2,17.3400,78.4500,09:45,10,19,Friday,August
D1,22-Aug-2026,TRP-0084,Hub North,17.4500,78.5400,09:30,19,16,Saturday,August
D1,23-Aug-2026,TRP-0085,Hotel A,17.3880,78.4920,09:30,55,31,Sunday,August
D1,25-Aug-2026,TRP-0086,Shopping Center,17.4450,78.5270,08:30,50,43,Tuesday,August
D1,30-Aug-2026,TRP-0087,Outlet 3,17.3650,78.4780,16:15,55,13,Sunday,August
D1,31-Aug-2026,TRP-0088,Market 1,17.3950,78.4880,08:00,51,23,Monday,August
D1,01-Sep-2026,TRP-0089,Pharmacy 1,17.3750,78.4720,09:45,29,39,Tuesday,September
D1,05-Sep-2026,TRP-0090,Outlet 5,17.4120,78.4980,10:15,11,35,Saturday,September
D1,07-Sep-2026,TRP-0091,Park A,17.4180,78.5180,10:45,52,21,Monday,September
D1,10-Sep-2026,TRP-0092,Factory 1,17.4600,78.5500,16:45,19,12,Thursday,September
D1,12-Sep-2026,TRP-0093,Clinic B,17.3920,78.4960,14:15,40,27,Saturday,September
D1,14-Sep-2026,TRP-0094,Office B,17.4050,78.5150,15:30,51,45,Monday,September
D1,17-Sep-2026,TRP-0095,Depot B,17.3450,78.4550,10:30,57,30,Thursday,September
D1,18-Sep-2026,TRP-0096,Store I,17.4300,78.5200,08:45,13,31,Friday,September
D1,23-Sep-2026,TRP-0097,School 2,17.4080,78.5120,16:00,34,15,Wednesday,September
D1,27-Sep-2026,TRP-0098,Bank A,17.3880,78.4820,08:15,12,10,Sunday,September
D1,29-Sep-2026,TRP-0099,Depot A,17.4350,78.5350,14:15,52,40,Tuesday,September
D1,03-Oct-2026,TRP-0100,Warehouse 2,17.3400,78.4500,10:45,44,44,Saturday,October
D1,04-Oct-2026,TRP-0101,Office A,17.3800,78.4750,11:15,34,23,Sunday,October
D1,10-Oct-2026,TRP-0102,School 1,17.3720,78.4680,15:45,60,22,Saturday,October
D1,12-Oct-2026,TRP-0103,Store E,17.3600,78.4700,16:15,48,44,Monday,October
D1,14-Oct-2026,TRP-0104,Store I,17.4300,78.5200,09:45,39,15,Wednesday,October
D1,15-Oct-2026,TRP-0105,Office B,17.4050,78.5150,08:45,21,20,Thursday,October
D1,19-Oct-2026,TRP-0106,Depot A,17.4350,78.5350,14:15,25,31,Monday,October
D1,22-Oct-2026,TRP-0107,Hub East,17.3950,78.5500,12:15,13,41,Thursday,October
D1,24-Oct-2026,TRP-0108,Outlet 2,17.3750,78.5050,13:30,10,30,Saturday,October
D1,27-Oct-2026,TRP-0109,Pharmacy 2,17.4050,78.4950,12:00,36,28,Tuesday,October
D1,31-Oct-2026,TRP-0110,Outlet 5,17.4120,78.4980,10:00,36,37,Saturday,October
D1,01-Nov-2026,TRP-0111,Community Center,17.3620,78.4840,16:30,46,40,Sunday,November
D1,03-Nov-2026,TRP-0112,Store F,17.4100,78.5100,14:00,58,36,Tuesday,November
D1,04-Nov-2026,TRP-0113,Clinic A,17.3820,78.4830,11:45,11,38,Wednesday,November
D1,06-Nov-2026,TRP-0114,Outlet 5,17.4120,78.4980,15:45,29,45,Friday,November
D1,13-Nov-2026,TRP-0115,Pharmacy 1,17.3750,78.4720,10:45,20,24,Friday,November
D1,15-Nov-2026,TRP-0116,Clinic A,17.3820,78.4830,15:45,35,29,Sunday,November
D1,17-Nov-2026,TRP-0117,Tech Park 2,17.3550,78.4580,16:45,48,11,Tuesday,November
D1,18-Nov-2026,TRP-0118,School 1,17.3720,78.4680,16:30,50,39,Wednesday,November
D1,25-Nov-2026,TRP-0119,Hub East,17.3950,78.5500,10:15,24,33,Wednesday,November
D1,26-Nov-2026,TRP-0120,Park A,17.4180,78.5180,10:00,44,12,Thursday,November
D1,30-Nov-2026,TRP-0121,Store D,17.4000,78.5000,10:45,58,29,Monday,November
D1,01-Dec-2026,TRP-0122,Store B,17.3900,78.4950,10:45,39,32,Tuesday,December
D1,02-Dec-2026,TRP-0123,Store B,17.3900,78.4950,14:30,26,11,Wednesday,December
D1,06-Dec-2026,TRP-0124,Store J,17.3950,78.5050,12:00,19,25,Sunday,December
D1,07-Dec-2026,TRP-0125,Store H,17.3500,78.4600,16:45,59,28,Monday,December
D1,08-Dec-2026,TRP-0126,Factory 2,17.3200,78.4300,13:45,59,31,Tuesday,December
D1,11-Dec-2026,TRP-0127,Park A,17.4180,78.5180,12:45,13,16,Friday,December
D1,15-Dec-2026,TRP-0128,Clinic A,17.3820,78.4830,13:45,56,37,Tuesday,December
D1,17-Dec-2026,TRP-0129,Clinic A,17.3820,78.4830,13:00,20,22,Thursday,December
D1,24-Dec-2026,TRP-0130,Hotel B,17.3780,78.4760,13:30,22,10,Thursday,December
D1,25-Dec-2026,TRP-0131,Tech Park 1,17.4250,78.5150,14:00,58,20,Friday,December
D1,31-Dec-2026,TRP-0132,Warehouse 1,17.4400,78.5300,15:30,35,17,Thursday,December
D2,02-Jan-2026,TRP-0133,Store F,17.4100,78.5100,09:15,51,21,Friday,January
D2,03-Jan-2026,TRP-0134,Warehouse 1,17.4400,78.5300,15:45,55,45,Saturday,January
D2,07-Jan-2026,TRP-0135,Office A,17.3800,78.4750,14:15,37,36,Wednesday,January
D2,08-Jan-2026,TRP-0136,Office A,17.3800,78.4750,11:30,40,18,Thursday,January
D2,09-Jan-2026,TRP-0137,Airport Gate,17.2400,78.4300,11:00,56,43,Friday,January
D2,13-Jan-2026,TRP-0138,Bank A,17.3880,78.4820,10:15,15,35,Tuesday,January
D2,16-Jan-2026,TRP-0139,Market 1,17.3950,78.4880,16:00,48,42,Friday,January
D2,18-Jan-2026,TRP-0140,Office C,17.4150,78.4850,13:30,41,21,Sunday,January
D2,19-Jan-2026,TRP-0141,Shopping Center,17.4450,78.5270,15:15,34,35,Monday,January
D2,25-Jan-2026,TRP-0142,Outlet 5,17.4120,78.4980,16:00,36,43,Sunday,January
D2,26-Jan-2026,TRP-0143,Tech Park 1,17.4250,78.5150,09:15,13,16,Monday,January
D2,03-Feb-2026,TRP-0144,Factory 2,17.3200,78.4300,10:00,10,38,Tuesday,February
D2,05-Feb-2026,TRP-0145,Market 2,17.3850,78.5080,09:45,49,11,Thursday,February
D2,08-Feb-2026,TRP-0146,Warehouse 1,17.4400,78.5300,10:45,25,40,Sunday,February
